"Parameter","Mean","SD","Q2.5","Q97.5","ESS","Rhat","Rhat_upper"
"mu_nat_monitor[1885]",7.92006761562225,0.159667322385245,7.60564963633346,8.23283511697829,10341.8263194975,1.00035715865205,1.00086200496777
"mu_nat_monitor[1886]",7.9243154752347,0.158724772160417,7.61200246587295,8.23585127632433,10372.2821684125,1.00035603798379,1.00086143033951
"mu_nat_monitor[1887]",7.92939438193292,0.157622450115288,7.61952434735798,8.23906224718314,10408.425041517,1.00035463625019,1.00086056319897
"mu_nat_monitor[1888]",7.93798461429911,0.155814202807418,7.63192806228495,8.24449325037081,10469.0548673214,1.00035211584773,1.00085867046163
"mu_nat_monitor[1889]",7.94564390155608,0.154256347086945,7.64304905206865,8.24923781188035,10522.7627886605,1.00034971390102,1.00085655189204
"mu_nat_monitor[189]",21.6295473742519,0.901562011598478,19.8909884049298,23.4155269357464,929.903116223054,1.00703808012401,1.0214037892707
"mu_nat_monitor[1890]",7.94918549985251,0.153552076609786,7.64848211479435,8.25193062993008,10547.529594332,1.0003485549408,1.00085544000109
"mu_nat_monitor[1891]",7.95410099884985,0.152590504911294,7.65520508400653,8.25528408046528,10581.8661603648,1.00034689649991,1.00085376183726
"mu_nat_monitor[1892]",7.96597730406382,0.150338752911342,7.67147772867168,8.26321402273386,10664.8110313609,1.00034265442655,1.00084907915995
"mu_nat_monitor[1893]",7.97920843647745,0.147939239680993,7.69058656103943,8.27144974249149,10757.5370615476,1.00033754642265,1.00084285719246
"mu_nat_monitor[1894]",7.98727938526224,0.146527258386211,7.70112083330518,8.27731543269246,10814.427964964,1.00033423823031,1.00083856248053
"mu_nat_monitor[1895]",7.9954171360998,0.145140571140632,7.71205975986038,8.28209678325293,10872.1331500839,1.00033075878935,1.00083386211116
"mu_nat_monitor[1896]",8.004353748272,0.14365826098395,7.72386471077701,8.28854398749466,10819.4414658245,1.00032677511136,1.00082828439341
"mu_nat_monitor[1897]",8.01273673152099,0.142304390784954,7.73457609282476,8.2941228546552,10876.454442972,1.00032288721415,1.00082266801953
"mu_nat_monitor[1898]",8.02814753360369,0.139902540715933,7.75471487040302,8.30566124622683,10982.7096537719,1.00031537155504,1.00081141043167
"mu_nat_monitor[1899]",8.03494476326369,0.138877154270203,7.76328743307162,8.31025937113183,11030.2344643922,1.00031191031603,1.00080607573594
"mu_nat_monitor[19]",12.8747670237342,0.349194257522968,12.2083227940737,13.5801032409328,2677.35322454744,1.00200692543,1.00631686896719
"mu_nat_monitor[190]",22.0242470937689,0.991041689577788,20.1274787470996,24.0080096150028,872.694392993266,1.00703074950544,1.02128981444887
"mu_nat_monitor[1900]",8.04513253463598,0.137377306333912,7.77671195733389,8.31762942374202,11102.2859857602,1.00030656177719,1.00079767499835
"mu_nat_monitor[1901]",8.0638468923845,0.13473207261249,7.80220697460993,8.33172361805337,11237.3861292904,1.00029626021233,1.00078104349367
"mu_nat_monitor[1902]",8.08067661014349,0.132467663180295,7.82496521961148,8.34375370212161,11234.7850680699,1.00028650909808,1.00076485926069
"mu_nat_monitor[1903]",8.09708872506245,0.130357534856247,7.84504879323651,8.35565883351511,11354.6039810782,1.00027660159103,1.00074806764241
"mu_nat_monitor[1904]",8.09889063258366,0.130131539600102,7.8473467974058,8.35707462922044,11367.959765594,1.00027549187731,1.00074616815292
"mu_nat_monitor[1905]",8.1295214200848,0.126453638509212,7.88541262075332,8.38044979612755,11601.1399508497,1.0002560557257,1.00071240372101
